100	0.4	0	0.0095
400	0.416	0.02	0.036
600	0.434	0.046	0.056
800	0.46	0.078	0.078
1000	0.49	0.116	0.104
1200	0.55	0.179	0.138
1400	0.626	0.274	0.182
1600	0.724	0.414	0.241
1800	0.83	0.602	0.311
1900	0.87	0.705	0.345
2000	0.88	0.79	0.37
2010	0.888	0.801	0.373
2030	0.887	0.816	0.376
2050	0.885	0.83	0.378
2080	0.878	0.848	0.381
2100	0.872	0.858	0.382
2130	0.86	0.871	0.3822
2134	0.858	0.873	0.3826
2160	0.846	0.881	0.382
2190	0.828	0.887	0.379
2230	0.802	0.891	0.374
2251	0.788	0.892	0.37
2290	0.759	0.889	0.363
2350	0.716	0.878	0.349
2500	0.6	0.833	0.311
2700	0.47	0.76	0.263
2900	0.375	0.703	0.225
3200	0.273	0.633	0.182
3800	0.171	0.551	0.132
4700	0.1	0.49	0.094
6400	0.05	0.448	0.06
8600	0.026	0.427	0.04
