Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:
000000001	140000.000	000.057291	-0.480267	5.964497e-08	0.0e+00	00:00:00.000
000000002	140000.100	000.053495	-0.480743	5.563756e-08	0.0e+00	00:00:00.172
000000003	140000.200	000.053401	-0.479834	5.564491e-08	0.0e+00	00:00:00.359
000000004	140000.300	000.073434	-0.479915	7.650688e-08	0.0e+00	00:00:00.547
000000005	140000.400	000.052109	-0.478897	5.440503e-08	0.0e+00	00:00:00.719
000000006	140000.500	000.066956	-0.480688	6.964570e-08	0.0e+00	00:00:00.906
000000007	140000.600	000.076158	-0.481360	7.910667e-08	0.0e+00	00:00:01.094
000000008	140000.700	000.066546	-0.479396	6.940560e-08	0.0e+00	00:00:01.266
000000009	140000.800	000.059516	-0.479049	6.211835e-08	0.0e+00	00:00:01.453
000000010	140000.900	000.060871	-0.478506	6.360548e-08	0.0e+00	00:00:01.625
000000011	140001.000	000.048304	-0.479181	5.040283e-08	0.0e+00	00:00:01.813
000000012	140001.100	000.080998	-0.479397	8.447866e-08	0.0e+00	00:00:01.984
000000013	140001.200	000.048974	-0.478903	5.113167e-08	0.0e+00	00:00:02.172
000000014	140001.300	000.037888	-0.478660	3.957710e-08	0.0e+00	00:00:02.344
000000015	140001.400	000.070435	-0.479004	7.352234e-08	0.0e+00	00:00:02.531
000000016	140001.500	000.075005	-0.479484	7.821400e-08	0.0e+00	00:00:02.703
000000017	140001.600	000.064459	-0.479760	6.717877e-08	0.0e+00	00:00:02.891
000000018	140001.700	000.047281	-0.478378	4.941774e-08	0.0e+00	00:00:03.063
000000019	140001.800	000.073968	-0.477757	7.741211e-08	0.0e+00	00:00:03.250
000000020	140001.900	000.073178	-0.477972	7.655026e-08	0.0e+00	00:00:03.422
000000021	140002.000	000.043601	-0.477235	4.568062e-08	0.0e+00	00:00:03.609
000000022	140002.100	000.056559	-0.476921	5.929574e-08	0.0e+00	00:00:03.781
000000023	140002.200	000.048789	-0.477414	5.109715e-08	0.0e+00	00:00:03.953
000000024	140002.300	000.055756	-0.474994	5.869171e-08	0.0e+00	00:00:04.141
000000025	140002.400	000.085641	-0.475370	9.007832e-08	0.0e+00	00:00:04.313
000000026	140002.500	000.061769	-0.477035	6.474282e-08	0.0e+00	00:00:04.500
000000027	140002.600	000.042579	-0.476489	4.467949e-08	0.0e+00	00:00:04.672
000000028	140002.700	000.073114	-0.476649	7.669539e-08	0.0e+00	00:00:04.859
000000029	140002.800	000.089287	-0.476831	9.362582e-08	0.0e+00	00:00:05.031
000000030	140002.900	000.079812	-0.476722	8.370868e-08	0.0e+00	00:00:05.203
000000031	140003.000	000.004724	-0.477467	4.947085e-09	0.0e+00	00:00:05.391
000000032	140003.100	000.068532	-0.478227	7.165179e-08	0.0e+00	00:00:05.563
000000033	140003.200	000.056691	-0.478784	5.920329e-08	0.0e+00	00:00:05.750
000000034	140003.300	000.074188	-0.475126	7.807193e-08	0.0e+00	00:00:05.922
000000035	140003.400	000.040601	-0.475276	4.271338e-08	0.0e+00	00:00:06.109
000000036	140003.500	000.018989	-0.474488	2.001046e-08	0.0e+00	00:00:06.281
000000037	140003.600	000.041285	-0.475804	4.338481e-08	0.0e+00	00:00:06.469
000000038	140003.700	000.048213	-0.475125	5.073677e-08	0.0e+00	00:00:06.641
000000039	140003.800	000.029571	-0.475656	3.108468e-08	0.0e+00	00:00:06.828
000000040	140003.900	000.029111	-0.474926	3.064785e-08	0.0e+00	00:00:07.000
000000041	140004.000	000.017336	-0.471838	1.837098e-08	0.0e+00	00:00:07.172
000000042	140004.100	000.030438	-0.472052	3.223993e-08	0.0e+00	00:00:07.359
000000043	140004.200	000.057787	-0.475093	6.081608e-08	0.0e+00	00:00:07.531
000000044	140004.300	000.004912	-0.474252	5.178971e-09	0.0e+00	00:00:07.719
000000045	140004.400	000.053096	-0.473823	5.602983e-08	0.0e+00	00:00:07.891
000000046	140004.500	000.044032	-0.472618	4.658298e-08	0.0e+00	00:00:08.078
000000047	140004.600	000.049013	-0.473576	5.174784e-08	0.0e+00	00:00:08.250
000000048	140004.700	000.029104	-0.474342	3.067805e-08	0.0e+00	00:00:08.438
000000049	140004.800	000.026191	-0.474925	2.757369e-08	0.0e+00	00:00:08.609
000000050	140004.900	000.053367	-0.476054	5.605123e-08	0.0e+00	00:00:08.797
000000051	140005.000	000.071647	-0.476951	7.510911e-08	0.0e+00	00:00:08.969
000000052	140005.100	-00.013218	-0.473622	-1.395464e-08	0.0e+00	00:00:09.156
000000053	140005.200	000.024193	-0.474600	2.548822e-08	0.0e+00	00:00:09.328
000000054	140005.300	000.017723	-0.476931	1.858072e-08	0.0e+00	00:00:09.516
000000055	140005.400	000.042710	-0.476164	4.484804e-08	0.0e+00	00:00:09.688
000000056	140005.500	000.007771	-0.474327	8.191870e-09	0.0e+00	00:00:09.875
000000057	140005.600	000.042117	-0.469384	4.486429e-08	0.0e+00	00:00:10.047
000000058	140005.700	000.000721	-0.472268	7.633480e-10	0.0e+00	00:00:10.219
000000059	140005.800	000.048164	-0.473066	5.090589e-08	0.0e+00	00:00:10.406
000000060	140005.900	000.017868	-0.472673	1.890151e-08	0.0e+00	00:00:10.578
000000061	140006.000	000.025629	-0.471727	2.716458e-08	0.0e+00	00:00:10.766
000000062	140006.100	000.015640	-0.472741	1.654174e-08	0.0e+00	00:00:10.938
000000063	140006.200	-00.003298	-0.471334	-3.498476e-09	0.0e+00	00:00:11.125
000000064	140006.300	000.040741	-0.471571	4.319706e-08	0.0e+00	00:00:11.297
000000065	140006.400	000.047761	-0.472308	5.056181e-08	0.0e+00	00:00:11.484
000000066	140006.500	000.014672	-0.471275	1.556678e-08	0.0e+00	00:00:11.656
000000067	140006.600	-00.028699	-0.470417	-3.050387e-08	0.0e+00	00:00:11.844
000000068	140006.700	000.005660	-0.471653	6.000557e-09	0.0e+00	00:00:12.031
000000069	140006.800	000.009542	-0.470408	1.014213e-08	0.0e+00	00:00:12.203
000000070	140006.900	000.006065	-0.470550	6.444289e-09	0.0e+00	00:00:12.375
000000071	140007.000	000.011752	-0.469282	1.252154e-08	0.0e+00	00:00:12.563
000000072	140007.100	000.035521	-0.468594	3.790220e-08	0.0e+00	00:00:12.734
000000073	140007.200	000.025442	-0.469268	2.710811e-08	0.0e+00	00:00:12.922
000000074	140007.300	-00.006961	-0.469160	-7.418892e-09	0.0e+00	00:00:13.094
000000075	140007.400	000.026229	-0.467924	2.802711e-08	0.0e+00	00:00:13.281
000000076	140007.500	000.025811	-0.468054	2.757295e-08	0.0e+00	00:00:13.453
000000077	140007.600	000.028847	-0.467076	3.088061e-08	0.0e+00	00:00:13.641
